n	50	Cap	15	r_mod	14
0	25.0	25.0	0.0	0.0	0.0	1000.0
1	19.942	16.269	0.0	7.0	175.0	235.0
2	13.131	45.499	0.0	9.0	522.0	582.0
3	41.105	42.288	0.0	10.0	256.0	316.0
4	29.622	23.653	0.0	5.0	529.0	589.0
5	20.387	33.75	0.0	11.0	469.0	529.0
6	8.195	24.765	0.0	5.0	436.0	496.0
7	39.947	22.762	0.0	10.0	517.0	577.0
8	32.184	39.039	0.0	8.0	414.0	474.0
9	46.07	49.15	0.0	11.0	28.0	88.0
10	15.395	23.92	0.0	11.0	96.0	156.0
11	38.336	13.008	0.0	8.0	169.0	229.0
12	49.706	28.635	0.0	10.0	54.0	114.0
13	17.748	22.292	0.0	10.0	423.0	483.0
14	42.549	29.924	0.0	8.0	112.0	172.0
15	44.178	9.661	0.0	11.0	511.0	571.0
16	26.591	36.243	0.0	11.0	36.0	96.0
17	3.855	9.895	0.0	5.0	24.0	84.0
18	37.401	26.569	0.0	11.0	293.0	353.0
19	45.989	20.442	0.0	7.0	402.0	462.0
20	35.511	15.228	0.0	10.0	496.0	556.0
21	39.026	12.034	0.0	11.0	477.0	537.0
22	28.364	23.084	0.0	10.0	299.0	359.0
23	40.399	46.524	0.0	10.0	267.0	327.0
24	42.439	43.835	0.0	10.0	61.0	121.0
25	48.019	11.272	0.0	10.0	410.0	470.0
26	7.711	35.675	0.0	11.0	300.0	360.0
27	12.451	19.724	0.0	6.0	538.0	598.0
28	11.466	10.009	0.0	8.0	378.0	438.0
29	31.894	3.068	0.0	9.0	549.0	609.0
30	31.193	29.453	0.0	11.0	64.0	124.0
31	27.643	20.718	0.0	6.0	130.0	190.0
32	39.09	29.91	0.0	6.0	422.0	482.0
33	4.979	34.382	0.0	10.0	562.0	622.0
34	48.532	5.628	0.0	11.0	283.0	343.0
35	0.104	43.096	0.0	6.0	279.0	339.0
36	35.129	12.788	0.0	10.0	251.0	311.0
37	16.979	42.131	0.0	10.0	562.0	622.0
38	33.836	16.463	0.0	8.0	480.0	540.0
39	17.004	0.135	0.0	8.0	388.0	448.0
40	47.985	48.353	0.0	10.0	62.0	122.0
41	15.167	40.338	0.0	11.0	446.0	506.0
42	49.188	25.691	0.0	5.0	239.0	299.0
43	39.884	22.741	0.0	5.0	451.0	511.0
44	48.7	3.276	0.0	10.0	211.0	271.0
45	32.483	35.647	0.0	11.0	371.0	431.0
46	36.36	12.366	0.0	10.0	572.0	632.0
47	15.168	2.888	0.0	8.0	39.0	99.0
48	12.586	38.003	0.0	7.0	481.0	541.0
49	24.069	10.394	0.0	6.0	31.0	91.0
50	46.755	43.039	0.0	9.0	287.0	347.0
51	35.573	46.733	0.0	-7.0	209.0	269.0
52	36.158	11.897	0.0	-9.0	562.0	622.0
53	43.76	46.624	0.0	-10.0	261.0	321.0
54	13.387	36.048	0.0	-5.0	549.0	609.0
55	21.442	34.131	0.0	-11.0	470.0	530.0
56	4.515	24.464	0.0	-5.0	439.0	499.0
57	14.379	35.446	0.0	-10.0	545.0	605.0
58	17.381	24.472	0.0	-8.0	434.0	494.0
59	43.627	19.724	0.0	-11.0	57.0	117.0
60	0.062	49.145	0.0	-11.0	125.0	185.0
61	42.389	13.101	0.0	-8.0	173.0	233.0
62	6.799	22.468	0.0	-10.0	97.0	157.0
63	24.429	6.787	0.0	-10.0	439.0	499.0
64	44.972	41.699	0.0	-8.0	124.0	184.0
65	30.09	18.098	0.0	-11.0	527.0	587.0
66	17.571	39.599	0.0	-11.0	45.0	105.0
67	30.378	32.49	0.0	-5.0	58.0	118.0
68	20.594	9.692	0.0	-11.0	316.0	376.0
69	19.93	25.913	0.0	-7.0	428.0	488.0
70	5.808	45.172	0.0	-10.0	538.0	598.0
71	0.497	25.269	0.0	-11.0	517.0	577.0
72	43.952	38.259	0.0	-10.0	320.0	380.0
73	13.843	16.968	0.0	-10.0	306.0	366.0
74	19.524	12.881	0.0	-10.0	99.0	159.0
75	30.948	13.248	0.0	-10.0	427.0	487.0
76	15.145	19.745	0.0	-11.0	317.0	377.0
77	18.778	35.536	0.0	-6.0	555.0	615.0
78	47.436	7.99	0.0	-8.0	414.0	474.0
79	6.843	25.729	0.0	-9.0	582.0	642.0
80	17.743	42.465	0.0	-11.0	82.0	142.0
81	38.701	13.318	0.0	-6.0	143.0	203.0
82	20.898	8.813	0.0	-6.0	449.0	509.0
83	17.899	14.988	0.0	-10.0	585.0	645.0
84	7.783	1.6	0.0	-11.0	323.0	383.0
85	14.706	29.557	0.0	-6.0	298.0	358.0
86	34.814	5.847	0.0	-10.0	257.0	317.0
87	37.222	46.889	0.0	-10.0	582.0	642.0
88	1.014	18.218	0.0	-8.0	512.0	572.0
89	14.534	22.632	0.0	-8.0	410.0	470.0
90	16.238	41.08	0.0	-10.0	94.0	154.0
91	30.924	27.954	0.0	-11.0	466.0	526.0
92	3.751	41.32	0.0	-5.0	287.0	347.0
93	34.475	6.348	0.0	-5.0	468.0	528.0
94	19.697	48.835	0.0	-10.0	265.0	325.0
95	40.315	30.836	0.0	-11.0	380.0	440.0
96	46.562	26.698	0.0	-10.0	589.0	649.0
97	23.704	40.859	0.0	-8.0	77.0	137.0
98	4.908	35.326	0.0	-7.0	489.0	549.0
99	9.956	27.345	0.0	-6.0	53.0	113.0
100	41.274	32.402	0.0	-9.0	298.0	358.0
101	25.0	25.0	0.0	0.0	0.0	1000.0
