n	20	Cap	20	r_mod	6
0	25.0	25.0	0.0	0.0	0.0	1000.0
1	45.479	47.35	0.0	9.0	200.0	320.0
2	14.637	2.649	0.0	5.0	40.0	160.0
3	31.784	39.682	0.0	15.0	448.0	568.0
4	22.594	49.458	0.0	14.0	13.0	133.0
5	1.279	7.844	0.0	10.0	559.0	679.0
6	49.591	5.129	0.0	14.0	207.0	327.0
7	14.9	8.658	0.0	6.0	114.0	234.0
8	21.227	46.868	0.0	14.0	364.0	484.0
9	0.401	2.882	0.0	7.0	29.0	149.0
10	0.992	42.377	0.0	9.0	112.0	232.0
11	8.671	23.026	0.0	8.0	235.0	355.0
12	32.845	31.582	0.0	14.0	409.0	529.0
13	1.221	19.986	0.0	12.0	146.0	266.0
14	30.561	28.302	0.0	12.0	434.0	554.0
15	36.089	46.41	0.0	15.0	107.0	227.0
16	38.427	21.803	0.0	7.0	367.0	487.0
17	31.439	5.571	0.0	14.0	559.0	679.0
18	47.912	10.565	0.0	14.0	402.0	522.0
19	30.745	9.007	0.0	14.0	386.0	506.0
20	45.764	8.559	0.0	7.0	480.0	600.0
21	5.293	33.895	0.0	-9.0	242.0	362.0
22	39.612	41.714	0.0	-5.0	86.0	206.0
23	37.15	7.767	0.0	-15.0	480.0	600.0
24	20.41	42.96	0.0	-14.0	19.0	139.0
25	39.731	3.207	0.0	-10.0	597.0	717.0
26	13.064	46.942	0.0	-14.0	262.0	382.0
27	11.596	17.549	0.0	-6.0	123.0	243.0
28	35.094	10.91	0.0	-14.0	402.0	522.0
29	15.455	49.859	0.0	-7.0	78.0	198.0
30	9.693	8.836	0.0	-9.0	146.0	266.0
31	12.492	13.799	0.0	-8.0	244.0	364.0
32	24.334	41.503	0.0	-14.0	422.0	542.0
33	13.111	48.089	0.0	-12.0	176.0	296.0
34	24.422	33.443	0.0	-12.0	442.0	562.0
35	25.272	28.466	0.0	-15.0	127.0	247.0
36	42.778	11.453	0.0	-7.0	378.0	498.0
37	39.423	13.02	0.0	-14.0	569.0	689.0
38	32.147	17.898	0.0	-14.0	419.0	539.0
39	10.796	9.047	0.0	-14.0	405.0	525.0
40	30.328	42.175	0.0	-7.0	516.0	636.0
41	25.0	25.0	0.0	0.0	0.0	1000.0
